ISO,Year,Debt/GDP
ARE,2000,3.09265776465136
ARE,2001,2.68968848289814
ARE,2002,3.59459820892458
ARE,2003,4.40369045333119
ARE,2004,5.64005727376988
ARE,2005,6.63151356361156
ARE,2006,6.84153839437208
ARE,2007,7.852535719655
ARE,2008,12.530937358531
ARE,2009,24.0835908032556
ARE,2010,22.225315790994
ARE,2011,17.5516751380171
ARE,2012,17.0346405100082
ARE,2013,15.8202375218276
ARE,2014,15.5850459152944
ARE,2015,18.0762995817214
AFG,2002,280.979169489507
AFG,2003,273.47089276156
AFG,2004,243.437705404115
AFG,2005,204.033972048842
AFG,2006,23.0193701030313
AFG,2007,20.2399098780025
AFG,2008,18.369594029807
AFG,2009,16.7755643621567
AFG,2010,7.90155288257144
AFG,2011,7.13664867806312
AFG,2012,6.62524928528885
AFG,2013,6.74872467481724
AFG,2014,6.38030001837899
AFG,2015,6.24600667400587
ATG,2000,110.83755086541
ATG,2001,122.025010095682
ATG,2002,128.165042420024
ATG,2003,127.519056663837
ATG,2004,122.985105455756
ATG,2005,94.9901756540801
ATG,2006,90.8679283159625
ATG,2007,79.2016807041347
ATG,2008,77.2710306811794
ATG,2009,102.460057797386
ATG,2010,90.7818171506254
ATG,2011,92.4307310259598
ATG,2012,87.1474888218112
ATG,2013,94.2630905807603
ATG,2014,100.422125885386
ATG,2015,104.357530015991
AIA,2000,9.12634253101428
AIA,2001,10.5629598326683
AIA,2002,12.2454921327228
AIA,2003,11.6824900682558
AIA,2004,15.9891739779803
AIA,2005,17.4468300070816
AIA,2006,14.0355051696122
AIA,2007,14.0377065478481
AIA,2008,15.3957456404063
AIA,2009,25.1037012166566
AIA,2010,32.4965259243769
AIA,2011,29.2054477880673
AIA,2012,30.94138410248
AIA,2013,30.4221492262941
AIA,2014,24.1126303407107
AIA,2015,22.1470333477966
ALB,2000,64.5955146870606
ALB,2001,60.6127819495433
ALB,2002,64.0969155847757
ALB,2003,60.2445615257151
ALB,2004,57.4742708579674
ALB,2005,58.2033589749684
ALB,2006,56.6881062360714
ALB,2007,53.5503032317783
ALB,2008,55.139805550616
ALB,2009,59.6664597006975
ALB,2010,57.7195522335943
ALB,2011,59.4126254340503
ALB,2012,62.1444670684734
ALB,2013,70.3910631410021
ALB,2014,72.03800991918
ALB,2015,73.3213260586392
ARM,2000,37.9542
ARM,2001,36.2702
ARM,2002,36.6753
ARM,2003,33.1351
ARM,2004,28.9247
ARM,2005,20.8491
ARM,2006,18.0946
ARM,2007,14.2494993548176
ARM,2008,14.6309642779242
ARM,2009,34.1357880994289
ARM,2010,33.7411560020151
ARM,2011,35.6911279079664
ARM,2012,36.4768505038057
ARM,2013,37.9586563652166
ARM,2014,41.4472319048233
ARM,2015,46.8930484844894
AGO,2000,89.903
AGO,2001,80.1735
AGO,2002,72.972
AGO,2003,59.7706
AGO,2004,51.9537355917515
AGO,2005,35.7366342955068
AGO,2006,18.6965618556975
AGO,2007,16.0655643646405
AGO,2008,16.64651492299
AGO,2009,22.7096667826384
AGO,2010,44.2905074773269
AGO,2011,33.8008682866954
AGO,2012,29.4866609972182
AGO,2013,32.8741264896889
AGO,2014,40.6608971975564
AGO,2015,64.2387405069085
ARG,2000,42.0595725605832
ARG,2001,49.4355017030262
ARG,2002,152.111761096881
ARG,2003,128.561136322981
ARG,2004,117.116331513796
ARG,2005,66.9382125033265
ARG,2006,58.6221715344631
ARG,2007,50.8416972241923
ARG,2008,43.8529881338305
ARG,2009,53.8284165715329
ARG,2010,42.6235055943962
ARG,2011,38.0628683968671
ARG,2012,39.4338894163692
ARG,2013,42.195378799453
ARG,2014,43.5866743334442
ARG,2015,52.1309338338097
AUT,2000,66.554732084424
AUT,2001,67.3251371233254
AUT,2002,66.5909480797305
AUT,2003,65.7401041575737
AUT,2004,65.3724389015894
AUT,2005,68.3145118833623
AUT,2006,67.0441837600102
AUT,2007,64.8082199592062
AUT,2008,68.5176780089782
AUT,2009,79.7258308603112
AUT,2010,82.389797286404
AUT,2011,82.193134571319
AUT,2012,81.6244075571532
AUT,2013,80.7988644637933
AUT,2014,84.2537829233066
AUT,2015,86.1926755378667
AUS,2000,19.4584678198019
AUS,2001,17.0407898863993
AUS,2002,14.9539172267313
AUS,2003,13.150985945291
AUS,2004,11.8900167030708
AUS,2005,10.8932133184477
AUS,2006,9.96690172357924
AUS,2007,9.68267595882895
AUS,2008,11.7436487831102
AUS,2009,16.7465993226432
AUS,2010,20.4812912962656
AUS,2011,24.2005104541504
AUS,2012,27.7982376601335
AUS,2013,30.8291105169833
AUS,2014,34.3228304726287
AUS,2015,37.63774914205
AZE,2000,25.8308
AZE,2001,24.3873093507516
AZE,2002,23.0178120828033
AZE,2003,21.8282593490716
AZE,2004,19.997102060913
AZE,2005,13.4984879941989
AZE,2006,10.260771635833
AZE,2007,8.31125373800917
AZE,2008,7.29167783773712
AZE,2009,12.3947661590014
AZE,2010,12.5171500153067
AZE,2011,11.4256937956841
AZE,2012,13.9477768538658
AZE,2013,12.7496713280294
AZE,2014,11.1746143978927
AZE,2015,28.3157868731872
BIH,2000,34.6862860267257
BIH,2001,35.230081461111
BIH,2002,31.1981836125398
BIH,2003,27.6351883263971
BIH,2004,25.4865878129998
BIH,2005,25.5151523692696
BIH,2006,21.2453204737627
BIH,2007,18.7092255386902
BIH,2008,30.8853987089158
BIH,2009,35.0666031404676
BIH,2010,42.7516517024339
BIH,2011,42.6466646304876
BIH,2012,44.2517591708935
BIH,2013,43.495588970596
BIH,2014,44.02511842562
BIH,2015,44.7376723260863
BRB,2000,39.8524188250287
BRB,2001,46.3850338582628
BRB,2002,47.7258009636707
BRB,2003,48.033935710348
BRB,2004,48.9449506359681
BRB,2005,47.2667989097281
BRB,2006,49.1132923227991
BRB,2007,51.5533551147057
BRB,2008,53.9004196522712
BRB,2009,62.530298062
BRB,2010,69.6672071401797
BRB,2011,75.7395160397137
BRB,2012,83.742542473945
BRB,2013,94.1725250089479
BRB,2014,98.0710406234178
BRB,2015,105.482734507953
BGD,2000,50.759995271405
BGD,2001,52.2479112379102
BGD,2002,52.6301653065951
BGD,2003,42.0555687794602
BGD,2004,41.1501935693922
BGD,2005,39.8742699760498
BGD,2006,39.5580664755518
BGD,2007,39.1079144923656
BGD,2008,38.2494398987852
BGD,2009,37.1093635561748
BGD,2010,34.0899260205613
BGD,2011,32.8057419688481
BGD,2012,31.6655748489879
BGD,2013,32.5025042930785
BGD,2014,31.8307306342605
BGD,2015,31.6713936491498
BEL,2000,107.778508129341
BEL,2001,106.483373941025
BEL,2002,103.386580993898
BEL,2003,98.3636060777242
BEL,2004,94.0251572327044
BEL,2005,91.967637220492
BEL,2006,91.038109410305
BEL,2007,87.0212133299489
BEL,2008,92.528537766557
BEL,2009,99.5635944722922
BEL,2010,99.7103537245224
BEL,2011,102.336996246172
BEL,2012,104.115401590411
BEL,2013,105.186222703253
BEL,2014,106.5680505884
BEL,2015,106.052412391581
BFA,2000,53.7114
BFA,2001,52.7253
BFA,2002,48.6694077627874
BFA,2003,44.6189838308337
BFA,2004,45.835968261579
BFA,2005,44.0917275505446
BFA,2006,22.599496780442
BFA,2007,25.3306120465364
BFA,2008,25.1633018233673
BFA,2009,28.4941875406409
BFA,2010,29.3171839697356
BFA,2011,29.8035486735407
BFA,2012,28.3481786192572
BFA,2013,28.6927366681982
BFA,2014,30.2425321316126
BFA,2015,32.7976353873149
BGR,2001,67.288589157911
BGR,2002,53.542651170232
BGR,2003,45.579145816208
BGR,2004,37.8550677976809
BGR,2005,28.5170247027617
BGR,2006,22.6579886402069
BGR,2007,17.4569364515873
BGR,2008,14.6520701408095
BGR,2009,14.6078017648795
BGR,2010,14.275050417357
BGR,2011,14.5183188798211
BGR,2012,16.7683948459423
BGR,2013,17.2237859816111
BGR,2014,26.4343193725175
BGR,2015,26.297819361204
BHR,2000,25.743736096835
BHR,2001,26.0749305633146
BHR,2002,28.3774885990243
BHR,2003,32.4492788479888
BHR,2004,29.3943419135887
BHR,2005,24.1918185967743
BHR,2006,20.250049405625
BHR,2007,16.343551839735
BHR,2008,12.562008006372
BHR,2009,21.3609190284715
BHR,2010,29.7042572557456
BHR,2011,32.8003974121996
BHR,2012,36.2090513979285
BHR,2013,43.9409097299188
BHR,2014,44.392999892726
BHR,2015,61.8552116528634
BDI,2000,136.425112633168
BDI,2001,127.386668216573
BDI,2002,159.08831200243
BDI,2003,171.969259033714
BDI,2004,172.738335996189
BDI,2005,136.980118850166
BDI,2006,130.254850522941
BDI,2007,129.613245630715
BDI,2008,102.513812625571
BDI,2009,25.6881661611879
BDI,2010,46.9116532462445
BDI,2011,39.757628581761
BDI,2012,39.9298574796414
BDI,2013,36.555500514585
BDI,2014,33.8661681440272
BDI,2015,42.4452834185769
BEN,2000,65.1978
BEN,2001,64.2249
BEN,2002,63.3439
BEN,2003,51.5995
BEN,2004,47.8114
BEN,2005,42.2605
BEN,2006,17.2415
BEN,2008,25.0202226406513
BEN,2009,25.62204735378
BEN,2010,28.701506373117
BEN,2011,29.8761267321065
BEN,2012,26.8220047802181
BEN,2013,25.4155568093919
BEN,2014,30.8735832199178
BEN,2015,39.2993997321878
BRN,2001,2.91725
BRN,2002,1.96071
BRN,2003,0.98344
BRN,2004,0.406748
BRN,2005,0.318164
BRN,2006,0.98404
BRN,2007,0.694768
BRN,2008,0.939106773043098
BRN,2009,1.10994757758819
BRN,2010,1.11290752383854
BRN,2011,2.12852008472962
BRN,2012,2.10063678630127
BRN,2013,2.20860101763834
BRN,2014,2.30471355393278
BRN,2015,2.81263322673569
BOL,2000,60.6029
BOL,2001,52.7457
BOL,2002,60.9849
BOL,2003,67.6307
BOL,2004,67.4356
BOL,2005,80.374926931061
BOL,2006,55.230210499143
BOL,2007,40.5063742951011
BOL,2008,37.1546088692141
BOL,2009,39.9920255216283
BOL,2010,38.5204244337895
BOL,2011,34.6658943637399
BOL,2012,33.3360224111107
BOL,2013,32.4894747405246
BOL,2014,33.015098211619
BOL,2015,36.1554313930684
BRA,2000,68.4572
BRA,2001,70.0537035431034
BRA,2002,78.797735589593
BRA,2003,73.8229993461769
BRA,2004,70.0768827547608
BRA,2005,68.585171049981
BRA,2006,65.8451918549005
BRA,2007,63.7432046704168
BRA,2008,61.8679802006076
BRA,2009,64.9439204131118
BRA,2010,63.0449225180818
BRA,2011,61.2416771180575
BRA,2012,62.3101473379579
BRA,2013,60.3644234423679
BRA,2014,63.3140558174017
BRA,2015,73.6970948210385
BHS,2000,23.8814232996974
BHS,2001,23.245317762961
BHS,2002,24.0198620293188
BHS,2003,26.6173956588558
BHS,2004,27.3138569662593
BHS,2005,28.1350649215828
BHS,2006,29.0730595064521
BHS,2007,29.3454381536242
BHS,2008,32.4880405983035
BHS,2009,39.4450809547313
BHS,2010,42.997401884803
BHS,2011,45.0528977470769
BHS,2012,46.5017084419264
BHS,2013,55.0254443912045
BHS,2014,59.858166063245
BHS,2015,63.5773065346455
BTN,2000,47.0284
BTN,2001,54.2354704868025
BTN,2002,59.7838866827373
BTN,2003,74.6195742353864
BTN,2004,78.6163868763734
BTN,2005,84.5393695669495
BTN,2006,80.4428552268653
BTN,2007,67.0970280768165
BTN,2008,60.7837013286962
BTN,2009,61.9720275563106
BTN,2010,57.938170314505
BTN,2011,66.3624497820875
BTN,2012,76.2806861885134
BTN,2013,93.64183012083
BTN,2014,93.7711128124981
BTN,2015,94.8008015160626
BWA,2000,10.8659
BWA,2001,9.09813852098335
BWA,2002,8.47684565939172
BWA,2003,12.0743547814487
BWA,2004,9.37085927296862
BWA,2005,7.67139158499533
BWA,2006,6.44005427463507
BWA,2007,8.4786464282151
BWA,2008,7.61987609892279
BWA,2009,18.7518785120007
BWA,2010,19.9495556809555
BWA,2011,20.6736716481852
BWA,2012,19.4504907226519
BWA,2013,18.2203931120918
BWA,2014,17.7658334158091
BWA,2015,16.9770441206737
BLR,2000,11.865
BLR,2001,11.4182
BLR,2002,10.9488
BLR,2003,10.2749
BLR,2004,7.32668
BLR,2005,6.90569
BLR,2006,11.0937716830459
BLR,2007,18.3466541802132
BLR,2008,20.8042858869812
BLR,2009,26.0238512289428
BLR,2010,30.5732988555784
BLR,2011,34.9430679501154
BLR,2012,32.0400435047184
BLR,2013,34.4513128726735
BLR,2014,37.3316257523345
BLR,2015,53.7358788191399
BLZ,2000,75.8120889832991
BLZ,2001,87.334773416766
BLZ,2002,95.0158922216531
BLZ,2003,109.344024790152
BLZ,2004,103.374165962289
BLZ,2005,102.436491883242
BLZ,2006,95.6520959987268
BLZ,2007,91.6493394431367
BLZ,2008,83.844442825601
BLZ,2009,91.9049198073301
BLZ,2010,88.2644150813399
BLZ,2011,83.5030314898468
BLZ,2012,78.9712710192969
BLZ,2013,79.3770435441631
BLZ,2014,77.5607355165184
BLZ,2015,82.0819772908933
CAN,2000,80.705927175747
CAN,2001,81.750452650361
CAN,2002,79.8879652142331
CAN,2003,76.1808824176307
CAN,2004,72.1352816828403
CAN,2005,70.8678304169007
CAN,2006,70.1258605541992
CAN,2007,66.8440807050635
CAN,2008,67.8343153310832
CAN,2009,79.2833194565401
CAN,2010,81.097266760121
CAN,2011,81.5134686802405
CAN,2012,84.8399282864679
CAN,2013,86.0798554904283
CAN,2014,86.2013144163609
CAN,2015,91.4993183037461
COD,2000,134.982258562836
COD,2001,181.61712504777
COD,2002,136.041679875852
COD,2003,114.463919210477
COD,2004,141.762165503223
COD,2005,101.472351341106
COD,2006,104.302444159642
COD,2007,86.884890028181
COD,2008,90.5046189596267
COD,2009,93.1865264459964
COD,2010,31.9421314474431
COD,2011,26.2502462818708
COD,2012,23.1689567452282
COD,2013,19.1191243423599
COD,2014,16.8027858231792
COD,2015,18.8607291420835
CAF,2000,92.8391976913695
CAF,2001,103.339754966493
CAF,2002,100.52821213353
CAF,2003,102.657153588624
CAF,2004,103.927099553687
CAF,2005,108.770814287773
CAF,2006,49.212700091174
CAF,2007,49.4677338345115
CAF,2008,36.6267743459384
CAF,2009,21.0927740083591
CAF,2010,21.4300528248484
CAF,2011,21.8309596324684
CAF,2012,23.5184085135426
CAF,2013,38.5318161709941
CAF,2014,51.1474243280897
CAF,2015,48.4981716268494
COG,2000,163.223424209378
COG,2001,195.784395133477
COG,2002,180.289277400352
COG,2003,204.371985431637
COG,2004,198.679385424169
COG,2005,108.271475509537
COG,2006,98.8155442369349
COG,2007,97.9566452559863
COG,2008,68.0629163093694
COG,2009,61.6256244444018
COG,2010,22.8884101533775
COG,2011,33.0873793614395
COG,2012,34.1414235318237
COG,2013,38.1836925207898
COG,2014,47.5114142636078
COG,2015,70.5928214796384
CHE,2000,54.5631931436234
CHE,2001,53.5386423941274
CHE,2002,60.3475995601935
CHE,2003,59.4474273701248
CHE,2004,60.7680805982618
CHE,2005,58.256448541204
CHE,2006,51.6669780168441
CHE,2007,49.5263954948369
CHE,2008,49.3975828531467
CHE,2009,47.3368469098084
CHE,2010,46.1319735975155
CHE,2011,46.0271815637004
CHE,2012,46.6317637581022
CHE,2013,46.352315609622
CHE,2014,45.6611298832054
CHE,2015,45.6563528843152
CIV,2000,98.3958
CIV,2001,91.7739
CIV,2002,88.9084
CIV,2003,79.6571
CIV,2004,78.3997627316146
CIV,2005,80.3989859399265
CIV,2006,79.4406094836671
CIV,2007,73.9971303492096
CIV,2008,70.8279806363646
CIV,2009,64.242337212912
CIV,2010,63.0484013527928
CIV,2011,69.1534607078848
CIV,2012,45.040953925849
CIV,2013,43.3597539184801
CIV,2014,46.5335172395448
CIV,2015,48.8689711617576
CHL,2000,13.1908337634854
CHL,2001,14.3948304598851
CHL,2002,15.0865970780362
CHL,2003,12.6407207964036
CHL,2004,10.2943714326824
CHL,2005,6.99715090003837
CHL,2006,4.99388633635392
CHL,2007,3.88988749089032
CHL,2008,4.91893468842246
CHL,2009,5.83473058284382
CHL,2010,8.60053740155804
CHL,2011,11.1525253661564
CHL,2012,12.0294257401151
CHL,2013,12.7908689714649
CHL,2014,15.0592432497123
CHL,2015,17.5397046382069
CMR,2000,91.9977
CMR,2001,92.7798
CMR,2002,85.9378
CMR,2003,60.2677882454101
CMR,2004,61.6217438130306
CMR,2005,51.5456743775817
CMR,2006,15.8627496972129
CMR,2007,11.9564715117081
CMR,2008,9.71500979461565
CMR,2009,10.0920723420925
CMR,2010,11.5272433120148
CMR,2011,13.2446506032736
CMR,2012,15.4286937043971
CMR,2013,18.6574574261594
CMR,2014,27.5433511672387
CMR,2015,29.0148170931743
CHN,2000,22.8089333684925
CHN,2001,24.3842425951406
CHN,2002,25.7109592211718
CHN,2003,26.5740068842788
CHN,2004,26.1683665960703
CHN,2005,26.0984784775641
CHN,2006,25.3819473053517
CHN,2007,29.0355432523223
CHN,2008,27.0002058697859
CHN,2009,32.5567175430411
CHN,2010,33.0897958631988
CHN,2011,33.0862095544953
CHN,2012,34.0214597623741
CHN,2013,36.9283752959174
CHN,2014,39.830932080445
CHN,2015,42.9192832514333
COL,2000,44.2208940871643
COL,2001,40.829694200559
COL,2002,47.2382030992589
COL,2003,44.7485804189778
COL,2004,41.2140953098638
COL,2005,38.2835084344427
COL,2006,35.7542406926444
COL,2007,32.4688198940172
COL,2008,32.1441141660426
COL,2009,35.1712798918141
COL,2010,36.4391721785691
COL,2011,35.7331702561102
COL,2012,34.0825030491228
COL,2013,37.7825220133507
COL,2014,44.2024838113685
COL,2015,50.5692633530993
CRI,2000,35.6547465215648
CRI,2001,37.6367779790155
CRI,2002,39.7556136165625
CRI,2003,38.9872377332482
CRI,2004,39.9995308339452
CRI,2005,36.5243415964984
CRI,2006,32.47036106394
CRI,2007,26.8567221127114
CRI,2008,24.1574591593111
CRI,2009,26.5458625187528
CRI,2010,28.4072290067304
CRI,2011,29.8326355668154
CRI,2012,34.2919296364282
CRI,2013,36.0437236089385
CRI,2014,39.2611689430031
CRI,2015,42.3759426718843
CPV,2000,84.9156
CPV,2001,88.9464
CPV,2002,92.7254
CPV,2003,83.4558
CPV,2004,77.5686
CPV,2005,74.9176
CPV,2007,64.9809576274891
CPV,2008,57.4222023091781
CPV,2009,65.1745889328225
CPV,2010,72.4295025265568
CPV,2011,78.8142322387042
CPV,2012,91.1113284573993
CPV,2013,99.9806761132474
CPV,2014,110.32156973293
CPV,2015,120.541924759627
CYP,2000,56.2618577824998
CYP,2001,57.8741441147701
CYP,2002,61.3741466637305
CYP,2003,63.4146914789422
CYP,2004,65.1066673446114
CYP,2005,64.4293433986857
CYP,2006,59.4818248230345
CYP,2007,53.5675025467772
CYP,2008,44.5659334820954
CYP,2009,53.3726862998653
CYP,2010,56.3327753949158
CYP,2011,65.8370508308095
CYP,2012,79.259635930309
CYP,2013,102.51430975499
CYP,2014,108.194393340079
CYP,2015,108.868185549375
CZE,2000,18.5011331266355
CZE,2001,24.8337700298885
CZE,2002,28.1932957371878
CZE,2003,29.8046614192046
CZE,2004,30.1580311295535
CZE,2005,29.6907753737667
CZE,2006,27.9108479266956
CZE,2007,27.8068718799087
CZE,2008,28.6582277093929
CZE,2009,34.0575706169599
CZE,2010,38.1550622449984
CZE,2011,39.8262165153808
CZE,2012,44.4696584556513
CZE,2013,44.9086021715281
CZE,2014,42.169378242654
CZE,2015,40.3144063768288
DEU,2000,58.7576542183248
DEU,2001,57.5823565841686
DEU,2002,59.2195682775914
DEU,2003,62.9207506035819
DEU,2004,64.6893799931296
DEU,2005,66.9093730170458
DEU,2006,66.3334795779797
DEU,2007,63.5422941792037
DEU,2008,64.9260658770992
DEU,2009,72.4302518412538
DEU,2010,81.0037751060053
DEU,2011,78.3106928290272
DEU,2012,79.5159992168976
DEU,2013,77.0575039628623
DEU,2014,74.4797242068039
DEU,2015,70.9881562374292
DJI,2000,45.771
DJI,2001,44.0371
DJI,2002,54.0606
DJI,2003,61.7153
DJI,2004,65.3494720574793
DJI,2005,60.3608074940381
DJI,2006,58.3925929623857
DJI,2007,56.6846845003916
DJI,2008,59.3088692796031
DJI,2009,59.5356168394994
DJI,2010,51.9203398447757
DJI,2011,45.1763746461953
DJI,2012,43.3020527232024
DJI,2013,42.4081069023717
DJI,2014,43.1813138902551
DJI,2015,39.4800302158314
DNK,2000,52.3543025869859
DNK,2001,48.5083038892445
DNK,2002,49.0809574323251
DNK,2003,46.1500983816959
DNK,2004,44.1787988748504
DNK,2005,37.3991908162243
DNK,2006,31.5408916785621
DNK,2007,27.3393803355902
DNK,2008,33.3859050060471
DNK,2009,40.3676318314797
DNK,2010,42.8785954783815
DNK,2011,46.4088656946314
DNK,2012,45.189325973401
DNK,2013,44.6508808160045
DNK,2014,44.7651169782105
DNK,2015,45.5274569130736
DMA,2000,69.5530520217281
DMA,2001,97.4902913063665
DMA,2002,99.3603554580175
DMA,2003,98.2200766652556
DMA,2004,85.8177502284478
DMA,2005,84.9350683947869
DMA,2006,80.4467913476959
DMA,2007,74.9001743881683
DMA,2008,66.5273919878815
DMA,2009,62.8104586328504
DMA,2010,67.3159425681298
DMA,2011,68.6408836383957
DMA,2012,74.0457813364294
DMA,2013,75.7644572548529
DMA,2014,81.3102865702125
DMA,2015,83.024827271594
DOM,2000,19.2969
DOM,2001,21.5674
